Reservoir,Well,Sample date,WC,pH,Na+,K+,Ca2+,Mg2+,Fe,Cl-,HCO3- ,CO32-,OH-,SO42-,LSI,RSI,PSI
BII220,DD-1P,11/1/2020,,8.64,11726,171.6,1045,424.4,0.1,21589,220,100,0.1,489,2.99,2.66,3.04
BII220,DD-2P,11/22/2014,,5.56,7112,188,4524,140,3.34,18412,601,0,0,40.1,0.70,4.15,1.23
BII220,DD-2P,11/1/2020,,8.11,11568,167.8,1051,412.1,0.2,20965,330,0.1,0.1,463.5,2.35,3.40,3.41
BII220,DD-3P,11/28/2014,,6.86,8332,144,3365,136,1.9,19122,354,0,0,114,1.64,3.57,2.28
BII220,DD-3P,11/27/2014,,7.24,8314,256,2511,1123,2.76,19112,712,0,0,98,2.20,2.84,1.49
BII220,DD-3P,11/27/2014,,7.18,8124,298,2394,996,2.54,18988,808,0,0,104,2.17,2.83,1.34
BII220,DD-3P,11/27/2014,,7.12,8246,302,2426,1014,2.24,19024,764,0,0,112,2.10,2.93,1.41
BII220,DD-3P,11/27/2014,,7.2,8384,276,2524,1114,2.86,19246,824,0,0,84,2.23,2.75,1.26
BII220,DD-3P,11/27/2014,,7.16,8412,288,2585,1102,2.98,19304,796,0,0,88,2.18,2.80,1.30
BII220,DD-3P,11/22/2014,,6.04,7346,203,4484,142,3.26,18024,564,0,0,36.4,1.15,3.74,1.33
BII220,DD-3P,11/22/2014,,5.98,6924,184,4712,132,3.46,18312,604,0,0,42.1,1.14,3.69,1.19
BII220,DD-3P,11/22/2014,,5.72,7011,224,4646,137,3.06,18542,586,0,0,38.2,0.86,3.99,1.24
BII220,DD-3P,11/1/2020,,7.29,11808,170.5,1077,443,0.2,21751,325,0.1,0.1,702,1.54,4.22,3.41
BII220,DD-4P,11/28/2014,,7.3,8725,176,3210,148,2.11,19658,284,0,0,88,1.97,3.37,2.66
BII220,DD-4P,11/1/2020,,8.3,11547,172.7,1026,417.4,0.2,21713,440,0.1,0.1,461.7,2.66,2.98,3.00
BII220,DD-6P,11/30/2014,,7.37,9012,180,3254,162,1.82,19904,251,0,0,92,1.99,3.39,2.83
BII220,DD-6P,11/29/2014,,7.28,8904,184,3256,158,1.98,19744,304,0,0,94,1.98,3.32,2.54
BII220,DD-6P,11/28/2014,,7.36,7446,225,3512,204,1.85,18254,624,0,0,42,2.41,2.54,1.39
BII220,DD-6P,11/28/2014,,7.25,8886,172,3221,152,2.02,19712,281,0,0,83,1.91,3.42,2.67
BII220,DD-6P,11/1/2020,,8.44,11571,182,1022,415.2,0.3,20640,205,40,0.1,384.9,2.61,3.22,3.65
BII230,DD-7P,12/1/2014,,7.14,8618,192,3178,166,1.94,19424,333,0,0,96,1.87,3.40,2.43
BII230,DD-7P,11/30/2014,,7.32,7230,242,3484,242,1.76,18087,686,0,0,40,2.41,2.50,1.25
BII220,DD-7P,11/1/2020,,8.55,11680,168.8,914,388.5,0.2,20604,295,120,0.1,66.5,2.95,2.66,2.79
BII220,DD-9P,12/14/2014,,6.58,17086,324,4318,1816,2.48,20272,384,0,0,1304,1.48,3.62,2.00
BII110,DD-9P,12/11/2014,,7.24,8469,170,4122,166,2.42,20272,256,0,0,92,1.97,3.30,2.60
BII110,DD-9P,11/1/2020,,8.81,11854,176.1,1075,378.5,0.2,22217,175,200,0.1,139.8,3.31,2.19,2.54
